Sublist	Category	Term	RT	Genes	Count	%	P-Value	Benjamini	Fisher Exact	-log
	GOTERM_BP_DIRECT	'de novo' XMP biosynthetic process	RT		6	0.5	2.40E-05	1.50E-03	5.60E-07	6.251811973
	GOTERM_BP_DIRECT	ATP biosynthetic process	RT		9	0.7	8.80E-06	6.30E-04	6.90E-07	6.161150909
	GOTERM_BP_DIRECT	response to drug	RT		43	3.3	2.00E-06	1.90E-04	8.00E-07	6.096910013
	GOTERM_BP_DIRECT	response to cadmium ion	RT		11	0.8	7.00E-06	5.00E-04	8.00E-07	6.096910013
	GOTERM_BP_DIRECT	protein import into nucleus	RT		22	1.7	3.30E-06	2.80E-04	8.70E-07	6.060480747
	GOTERM_BP_DIRECT	nucleobase-containing compound metabolic process	RT		13	1	6.80E-06	5.00E-04	1.00E-06	6
	GOTERM_BP_DIRECT	microtubule-based process	RT		13	1	6.80E-06	5.00E-04	1.00E-06	6
	GOTERM_BP_DIRECT	intracellular protein transport	RT		46	3.5	2.90E-06	2.50E-04	1.20E-06	5.920818754
	GOTERM_BP_DIRECT	mRNA transport	RT		20	1.5	4.70E-06	3.80E-04	1.20E-06	5.920818754
	GOTERM_BP_DIRECT	"negative regulation of mRNA splicing, via spliceosome"	RT		10	0.8	1.30E-05	8.50E-04	1.30E-06	5.886056648
	GOTERM_BP_DIRECT	viral translational termination-reinitiation	RT		5	0.4	9.10E-05	4.60E-03	1.30E-06	5.886056648
	GOTERM_BP_DIRECT	protein folding in endoplasmic reticulum	RT		7	0.5	2.90E-05	1.70E-03	1.50E-06	5.823908741
	GOTERM_BP_DIRECT	"alternative mRNA splicing, via spliceosome"	RT		10	0.8	1.90E-05	1.20E-03	2.10E-06	5.677780705
	GOTERM_BP_DIRECT	purine ribonucleoside salvage	RT		6	0.5	6.00E-05	3.30E-03	2.10E-06	5.677780705
	GOTERM_BP_DIRECT	'de novo' AMP biosynthetic process	RT		6	0.5	6.00E-05	3.30E-03	2.10E-06	5.677780705
	GOTERM_BP_DIRECT	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	RT		6	0.5	6.00E-05	3.30E-03	2.10E-06	5.677780705
	GOTERM_BP_DIRECT	regulation of translation	RT		19	1.5	1.10E-05	7.60E-04	2.80E-06	5.552841969
	GOTERM_BP_DIRECT	cellular response to leukemia inhibitory factor	RT		21	1.6	1.00E-05	7.20E-04	2.90E-06	5.537602002
	GOTERM_BP_DIRECT	canonical glycolysis	RT		8	0.6	3.70E-05	2.10E-03	2.90E-06	5.537602002
	GOTERM_BP_DIRECT	actin cytoskeleton organization	RT		30	2.3	9.70E-06	6.70E-04	3.40E-06	5.468521083
	GOTERM_BP_DIRECT	mitochondrion morphogenesis	RT		9	0.7	3.40E-05	2.00E-03	3.50E-06	5.455931956
	GOTERM_BP_DIRECT	translational elongation	RT		9	0.7	3.40E-05	2.00E-03	3.50E-06	5.455931956
	GOTERM_BP_DIRECT	activation of innate immune response	RT		11	0.8	2.70E-05	1.60E-03	3.70E-06	5.431798276
	GOTERM_BP_DIRECT	DNA duplex unwinding	RT		17	1.3	2.60E-05	1.60E-03	6.40E-06	5.193820026
	GOTERM_BP_DIRECT	negative regulation of ubiquitin protein ligase activity	RT		7	0.5	9.70E-05	4.80E-03	6.70E-06	5.173925197
	GOTERM_BP_DIRECT	osteoblast differentiation	RT		23	1.8	2.30E-05	1.50E-03	7.30E-06	5.13667714
	GOTERM_BP_DIRECT	chaperone mediated protein folding requiring cofactor	RT		11	0.8	4.80E-05	2.70E-03	7.30E-06	5.13667714
	GOTERM_BP_DIRECT	purine nucleobase biosynthetic process	RT		5	0.4	2.60E-04	1.10E-02	7.30E-06	5.13667714
	GOTERM_BP_DIRECT	'de novo' IMP biosynthetic process	RT		5	0.4	2.60E-04	1.10E-02	7.30E-06	5.13667714
	GOTERM_BP_DIRECT	DNA unwinding involved in DNA replication	RT		9	0.7	7.30E-05	3.80E-03	8.50E-06	5.070581074
	GOTERM_BP_DIRECT	mRNA splice site selection	RT		9	0.7	7.30E-05	3.80E-03	8.50E-06	5.070581074
	GOTERM_BP_DIRECT	2-oxoglutarate metabolic process	RT		8	0.6	9.30E-05	4.60E-03	8.90E-06	5.050609993
	GOTERM_BP_DIRECT	ribosomal large subunit biogenesis	RT		10	0.8	7.20E-05	3.80E-03	1.00E-05	5
	GOTERM_BP_DIRECT	ribosomal large subunit assembly	RT		9	0.7	1.00E-04	5.00E-03	1.30E-05	4.886056648
	GOTERM_BP_DIRECT	regulation of DNA-dependent DNA replication initiation	RT		7	0.5	1.60E-04	7.20E-03	1.30E-05	4.886056648
	GOTERM_BP_DIRECT	SRP-dependent cotranslational protein targeting to membrane	RT		6	0.5	2.40E-04	1.00E-02	1.40E-05	4.853871964
	GOTERM_BP_DIRECT	mRNA export from nucleus	RT		14	1.1	7.20E-05	3.80E-03	1.60E-05	4.795880017
	GOTERM_BP_DIRECT	mitochondrial ATP synthesis coupled proton transport	RT		15	1.2	7.50E-05	3.80E-03	1.80E-05	4.744727495
	GOTERM_BP_DIRECT	actin filament fragmentation	RT		4	0.3	1.10E-03	3.60E-02	1.90E-05	4.721246399
	GOTERM_BP_DIRECT	toxin transport	RT		12	0.9	1.10E-04	5.00E-03	2.00E-05	4.698970004
	GOTERM_BP_DIRECT	positive regulation of protein import into nucleus	RT		12	0.9	1.10E-04	5.00E-03	2.00E-05	4.698970004
	GOTERM_BP_DIRECT	ribosomal small subunit assembly	RT		7	0.5	2.50E-04	1.10E-02	2.20E-05	4.657577319
	GOTERM_BP_DIRECT	RNA export from nucleus	RT		8	0.6	2.00E-04	8.70E-03	2.30E-05	4.638272164
	GOTERM_BP_DIRECT	nucleoside metabolic process	RT		8	0.6	2.00E-04	8.70E-03	2.30E-05	4.638272164
	GOTERM_BP_DIRECT	protein homotetramerization	RT		14	1.1	1.00E-04	5.00E-03	2.40E-05	4.619788758
	GOTERM_BP_DIRECT	translational termination	RT		5	0.4	5.70E-04	2.10E-02	2.40E-05	4.619788758
	GOTERM_BP_DIRECT	nucleocytoplasmic transport	RT		13	1	1.20E-04	5.60E-03	2.60E-05	4.585026652
	GOTERM_BP_DIRECT	cellular response to heat	RT		13	1	1.50E-04	6.60E-03	3.20E-05	4.494850022
	GOTERM_BP_DIRECT	rhythmic process	RT		16	1.2	1.40E-04	6.50E-03	3.80E-05	4.420216403
	GOTERM_BP_DIRECT	positive regulation of ATPase activity	RT		9	0.7	2.60E-04	1.10E-02	3.80E-05	4.420216403
	GOTERM_BP_DIRECT	regulation of RNA splicing	RT		16	1.2	1.60E-04	7.30E-03	4.50E-05	4.346787486
	GOTERM_BP_DIRECT	positive regulation of telomere maintenance via telomerase	RT		10	0.8	2.80E-04	1.10E-02	4.90E-05	4.30980392
	GOTERM_BP_DIRECT	"regulation of mRNA splicing, via spliceosome"	RT		8	0.6	3.90E-04	1.50E-02	5.10E-05	4.292429824
	GOTERM_BP_DIRECT	cellular respiration	RT		11	0.8	2.70E-04	1.10E-02	5.30E-05	4.27572413
	GOTERM_BP_DIRECT	spliceosomal snRNP assembly	RT		9	0.7	3.50E-04	1.30E-02	5.30E-05	4.27572413
	GOTERM_BP_DIRECT	double-strand break repair via break-induced replication	RT		6	0.5	6.80E-04	2.40E-02	5.50E-05	4.259637311
	GOTERM_BP_DIRECT	mitotic spindle organization	RT		13	1	2.50E-04	1.10E-02	5.90E-05	4.229147988
	GOTERM_BP_DIRECT	protein maturation by protein folding	RT		5	0.4	1.10E-03	3.50E-02	6.10E-05	4.214670165
	GOTERM_BP_DIRECT	7-methylguanosine cap hypermethylation	RT		5	0.4	1.10E-03	3.50E-02	6.10E-05	4.214670165
	GOTERM_BP_DIRECT	liver regeneration	RT		11	0.8	3.30E-04	1.30E-02	6.70E-05	4.173925197
	GOTERM_BP_DIRECT	vesicle-mediated transport	RT		32	2.5	1.70E-04	7.50E-03	7.40E-05	4.13076828
	GOTERM_BP_DIRECT	protein N-linked glycosylation via asparagine	RT		8	0.6	5.30E-04	2.00E-02	7.40E-05	4.13076828
	GOTERM_BP_DIRECT	AMP salvage	RT		4	0.3	2.60E-03	7.20E-02	9.20E-05	4.036212173
	GOTERM_BP_DIRECT	citrate metabolic process	RT		4	0.3	2.60E-03	7.20E-02	9.20E-05	4.036212173
	GOTERM_BP_DIRECT	AMP biosynthetic process	RT		4	0.3	2.60E-03	7.20E-02	9.20E-05	4.036212173
	GOTERM_BP_DIRECT	cytoplasmic translational initiation	RT		4	0.3	2.60E-03	7.20E-02	9.20E-05	4.036212173
	GOTERM_BP_DIRECT	protein localization	RT		23	1.8	2.50E-04	1.10E-02	9.40E-05	4.026872146
	GOTERM_BP_DIRECT	proteasome assembly	RT		6	0.5	1.00E-03	3.50E-02	9.70E-05	4.013228266
	GOTERM_BP_DIRECT	positive regulation of viral genome replication	RT		9	0.7	5.80E-04	2.10E-02	9.80E-05	4.008773924
	GOTERM_BP_DIRECT	positive regulation of lamellipodium assembly	RT		9	0.7	5.80E-04	2.10E-02	9.80E-05	4.008773924
	GOTERM_BP_DIRECT	viral entry into host cell	RT		18	1.4	3.30E-04	1.30E-02	1.10E-04	3.958607315
	GOTERM_BP_DIRECT	regulation of actin filament polymerization	RT		10	0.8	5.50E-04	2.00E-02	1.10E-04	3.958607315
	GOTERM_BP_DIRECT	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RT		10	0.8	5.50E-04	2.00E-02	1.10E-04	3.958607315
	GOTERM_BP_DIRECT	response to oxidative stress	RT		20	1.5	3.40E-04	1.30E-02	1.20E-04	3.920818754
	GOTERM_BP_DIRECT	response to virus	RT		19	1.5	3.60E-04	1.40E-02	1.20E-04	3.920818754
	GOTERM_BP_DIRECT	platelet aggregation	RT		11	0.8	6.00E-04	2.10E-02	1.30E-04	3.886056648
	GOTERM_BP_DIRECT	oxaloacetate metabolic process	RT		5	0.4	1.90E-03	5.50E-02	1.30E-04	3.886056648
	GOTERM_BP_DIRECT	regulation of ruffle assembly	RT		5	0.4	1.90E-03	5.50E-02	1.30E-04	3.886056648
	GOTERM_BP_DIRECT	response to alkaloid	RT		5	0.4	1.90E-03	5.50E-02	1.30E-04	3.886056648
	GOTERM_BP_DIRECT	"RNA splicing, via transesterification reactions"	RT		8	0.6	9.30E-04	3.20E-02	1.40E-04	3.853871964
	GOTERM_BP_DIRECT	positive regulation of proteasomal protein catabolic process	RT		7	0.5	1.10E-03	3.50E-02	1.40E-04	3.853871964
	GOTERM_BP_DIRECT	oxidative phosphorylation	RT		7	0.5	1.10E-03	3.50E-02	1.40E-04	3.853871964
	GOTERM_BP_DIRECT	"mitochondrial electron transport, ubiquinol to cytochrome c"	RT		6	0.5	1.50E-03	4.80E-02	1.60E-04	3.795880017
	GOTERM_BP_DIRECT	glutathione metabolic process	RT		11	0.8	8.70E-04	3.00E-02	2.00E-04	3.698970004
	GOTERM_BP_DIRECT	cellular response to interleukin-4	RT		8	0.6	1.20E-03	3.80E-02	2.00E-04	3.698970004
	GOTERM_BP_DIRECT	negative regulation of protein ubiquitination	RT		12	0.9	8.40E-04	2.90E-02	2.10E-04	3.677780705
	GOTERM_BP_DIRECT	binding of sperm to zona pellucida	RT		10	0.8	1.00E-03	3.40E-02	2.20E-04	3.657577319
	GOTERM_BP_DIRECT	mRNA stabilization	RT		9	0.7	1.10E-03	3.60E-02	2.20E-04	3.657577319
	GOTERM_BP_DIRECT	chromatin assembly	RT		5	0.4	2.90E-03	7.90E-02	2.40E-04	3.619788758
	GOTERM_BP_DIRECT	transferrin transport	RT		5	0.4	2.90E-03	7.90E-02	2.40E-04	3.619788758
	GOTERM_BP_DIRECT	protein heterotetramerization	RT		6	0.5	2.20E-03	6.20E-02	2.50E-04	3.602059991
	GOTERM_BP_DIRECT	ribosomal subunit export from nucleus	RT		4	0.3	5.00E-03	1.20E-01	2.60E-04	3.585026652
	GOTERM_BP_DIRECT	positive regulation of mRNA binding	RT		4	0.3	5.00E-03	1.20E-01	2.60E-04	3.585026652
	GOTERM_BP_DIRECT	isocitrate metabolic process	RT		4	0.3	5.00E-03	1.20E-01	2.60E-04	3.585026652
	GOTERM_BP_DIRECT	5-phosphoribose 1-diphosphate biosynthetic process	RT		4	0.3	5.00E-03	1.20E-01	2.60E-04	3.585026652
	GOTERM_BP_DIRECT	mature ribosome assembly	RT		4	0.3	5.00E-03	1.20E-01	2.60E-04	3.585026652
	GOTERM_BP_DIRECT	fibroblast proliferation	RT		9	0.7	1.40E-03	4.40E-02	2.80E-04	3.552841969
	GOTERM_BP_DIRECT	regulation of apoptotic process	RT		31	2.4	6.20E-04	2.20E-02	2.90E-04	3.537602002
	GOTERM_BP_DIRECT	respiratory electron transport chain	RT		7	0.5	1.90E-03	5.60E-02	2.90E-04	3.537602002
	GOTERM_BP_DIRECT	cellular hyperosmotic salinity response	RT		3	0.2	1.30E-02	2.40E-01	2.90E-04	3.537602002
	GOTERM_BP_DIRECT	positive regulation of plasma membrane repair	RT		3	0.2	1.30E-02	2.40E-01	2.90E-04	3.537602002
	GOTERM_BP_DIRECT	histone H2A phosphorylation	RT		3	0.2	1.30E-02	2.40E-01	2.90E-04	3.537602002
	GOTERM_BP_DIRECT	cytoplasmic translational termination	RT		3	0.2	1.30E-02	2.40E-01	2.90E-04	3.537602002
	GOTERM_BP_DIRECT	protein targeting to mitochondrion	RT		8	0.6	1.90E-03	5.60E-02	3.50E-04	3.455931956
	GOTERM_BP_DIRECT	ER to Golgi vesicle-mediated transport	RT		20	1.5	9.50E-04	3.20E-02	3.60E-04	3.443697499
	GOTERM_BP_DIRECT	response to copper ion	RT		6	0.5	3.00E-03	8.10E-02	3.80E-04	3.420216403
	GOTERM_BP_DIRECT	release of cytochrome c from mitochondria	RT		7	0.5	2.50E-03	7.00E-02	3.90E-04	3.408935393
	GOTERM_BP_DIRECT	hydrogen ion transmembrane transport	RT		20	1.5	1.00E-03	3.50E-02	4.00E-04	3.397940009
	GOTERM_BP_DIRECT	formation of translation preinitiation complex	RT		5	0.4	4.40E-03	1.10E-01	4.20E-04	3.37675071
	GOTERM_BP_DIRECT	pentose-phosphate shunt	RT		5	0.4	4.40E-03	1.10E-01	4.20E-04	3.37675071
	GOTERM_BP_DIRECT	endoplasmic reticulum tubular network organization	RT		5	0.4	4.40E-03	1.10E-01	4.20E-04	3.37675071
	GOTERM_BP_DIRECT	fructose 6-phosphate metabolic process	RT		5	0.4	4.40E-03	1.10E-01	4.20E-04	3.37675071
	GOTERM_BP_DIRECT	"retrograde vesicle-mediated transport, Golgi to ER"	RT		11	0.8	1.70E-03	5.10E-02	4.30E-04	3.366531544
	GOTERM_BP_DIRECT	response to ethanol	RT		20	1.5	1.20E-03	3.90E-02	4.90E-04	3.30980392
	GOTERM_BP_DIRECT	cellular oxidant detoxification	RT		14	1.1	1.60E-03	4.80E-02	4.90E-04	3.30980392
	GOTERM_BP_DIRECT	response to organic cyclic compound	RT		12	0.9	1.80E-03	5.40E-02	5.00E-04	3.301029996
	GOTERM_BP_DIRECT	positive regulation of substrate adhesion-dependent cell spreading	RT		10	0.8	2.10E-03	6.00E-02	5.00E-04	3.301029996
	GOTERM_BP_DIRECT	positive regulation of transcription from RNA polymerase I promoter	RT		7	0.5	3.20E-03	8.50E-02	5.30E-04	3.27572413
	GOTERM_BP_DIRECT	chromosome condensation	RT		7	0.5	3.20E-03	8.50E-02	5.30E-04	3.27572413
	GOTERM_BP_DIRECT	nuclear migration	RT		6	0.5	4.00E-03	1.00E-01	5.60E-04	3.251811973
	GOTERM_BP_DIRECT	ribosomal small subunit export from nucleus	RT		4	0.3	8.30E-03	1.80E-01	5.80E-04	3.236572006
	GOTERM_BP_DIRECT	glycine metabolic process	RT		4	0.3	8.30E-03	1.80E-01	5.80E-04	3.236572006
	GOTERM_BP_DIRECT	regulation of translational termination	RT		4	0.3	8.30E-03	1.80E-01	5.80E-04	3.236572006
	GOTERM_BP_DIRECT	actin polymerization-dependent cell motility	RT		4	0.3	8.30E-03	1.80E-01	5.80E-04	3.236572006
	GOTERM_BP_DIRECT	apical junction assembly	RT		4	0.3	8.30E-03	1.80E-01	5.80E-04	3.236572006
	GOTERM_BP_DIRECT	response to calcium ion	RT		12	0.9	2.30E-03	6.60E-02	6.80E-04	3.167491087
	GOTERM_BP_DIRECT	protein export from nucleus	RT		8	0.6	3.60E-03	9.20E-02	7.40E-04	3.13076828
	GOTERM_BP_DIRECT	regulation of mitochondrial membrane potential	RT		8	0.6	3.60E-03	9.20E-02	7.40E-04	3.13076828
	GOTERM_BP_DIRECT	positive regulation of transcription from RNA polymerase III promoter	RT		6	0.5	5.30E-03	1.20E-01	7.90E-04	3.102372909
	GOTERM_BP_DIRECT	sarcomere organization	RT		9	0.7	3.60E-03	9.20E-02	8.40E-04	3.075720714
	GOTERM_BP_DIRECT	cellular response to organic cyclic compound	RT		11	0.8	3.00E-03	8.10E-02	8.50E-04	3.070581074
	GOTERM_BP_DIRECT	positive regulation of DNA replication	RT		8	0.6	4.30E-03	1.10E-01	9.30E-04	3.031517051
	GOTERM_BP_DIRECT	Arp2/3 complex-mediated actin nucleation	RT		7	0.5	5.00E-03	1.20E-01	9.30E-04	3.031517051
	GOTERM_BP_DIRECT	telomere maintenance	RT		11	0.8	3.50E-03	9.10E-02	9.90E-04	3.004364805
	GOTERM_BP_DIRECT	ubiquitin-dependent protein catabolic process	RT		33	2.5	2.10E-03	6.20E-02	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	regulation of proteasomal protein catabolic process	RT		6	0.5	6.80E-03	1.50E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	positive regulation of protein export from nucleus	RT		6	0.5	6.80E-03	1.50E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	RT		6	0.5	6.80E-03	1.50E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	nuclear-transcribed mRNA catabolic process	RT		6	0.5	6.80E-03	1.50E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	removal of superoxide radicals	RT		5	0.4	8.50E-03	1.80E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	positive regulation of mRNA catabolic process	RT		5	0.4	8.50E-03	1.80E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	actin filament depolymerization	RT		5	0.4	8.50E-03	1.80E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	protein localization to nuclear envelope	RT		4	0.3	1.30E-02	2.40E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent"	RT		4	0.3	1.30E-02	2.40E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	response to isolation stress	RT		4	0.3	1.30E-02	2.40E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	establishment or maintenance of apical/basal cell polarity	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	"regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	telomerase holoenzyme complex assembly	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	nuclear pore localization	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	regulation of organelle assembly	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	ribosomal protein import into nucleus	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	regulation of interferon-gamma-mediated signaling pathway	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	DNA geometric change	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	purine ribonucleoside monophosphate biosynthetic process	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	positive regulation by virus of viral protein levels in host cell	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
	GOTERM_BP_DIRECT	ribonucleoside monophosphate biosynthetic process	RT		3	0.2	2.40E-02	3.70E-01	1.10E-03	2.958607315
