Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
A6NDG6,Glycerol-3-phosphate phosphatase (G3PP) (EC 3.1.3.21) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Phosphoglycolate phosphatase) (PGP),PGP,8,29.3,34.006,321,0.0,23.604,40443000.0,8848;8867;10169;16468;17371;21277;21879;31023,30928;30977;30978;35466;35467;35468;57824;60864;60865;60866;60867;74011;74012;74013;76109;76110;107856;107857,32133
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (SMC hinge domain-containing protein 1) (EC 3.6.1.-),SMCHD1 KIAA0650,17,14.2,226.37,2005,0.0,76.551,42463000.0,1231;4376;6610;6711;8905;9356;10102;11337;11560;13443;13682;17814;18089;18218;24516;26786;29216,4218;15311;23419;23420;23784;31092;32592;32593;32594;35246;35247;35248;39634;40402;40403;47459;48449;62449;63375;63788;84505;92359;101479,4399
P62308,Small nuclear ribonucleoprotein G (snRNP-G) (Sm protein G) (Sm-G) (SmG),SNRPG PBSCG,3,27.6,8.496,76,0.0,8.5341,21891000.0,1214;11168;11169,4154;4155;39081;39082;39083;39084;39085;39086;39087;39088,4334
B1AK53,Espin (Autosomal recessive deafness type 36 protein) (Ectoplasmic specialization protein),ESPN DFNB36 LP2654,8,15.3,91.732,854,0.0,34.564,66429000.0,7059;11071;20385;23171;24011;24574;25254;26619,24949;38711;38712;38713;38714;38715;71005;80075;80076;82756;82757;84722;84723;84724;86963;91801,25966
C9JLW8,Mapk-regulated corepressor-interacting protein 1 (Granulin-2) (Protein FAM195B),MCRIP1 FAM195B GRAN2,2,30.9,10.92,97,0.0,12.689,12757000.0,24902;26140,85802;85803;85804;85805;85806;90038,89813
E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)",NACA,7,5.2,205.42,2078,0.0,43.509,417440000.0,1923;3841;13042;16092;20958;21288;24822,6747;13460;13461;13462;13463;13464;45854;45855;45856;45857;45858;45859;45860;45861;45862;45863;56642;72947;72948;72949;72950;72951;72952;72953;72954;74048;85548;85549;85550;85551;85552;85553;85554;85555;85556;85557;85558;85559,7038
I6L899,Golgin subfamily A member 8R,GOLGA8R,2,3.8,71.489,631,0.0076649,2.1661,5232500.0,521;22883,1839;1840;79263,1923
O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)",AGPS AAG5,6,16.7,72.911,658,0.0,56.621,16119000.0,267;2357;10213;10712;14054;31144,860;861;8272;35624;37459;37460;49823;49824;108238,889
O00148,ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49),DDX39A DDX39,5,43.6,49.129,427,0.0,16.097,25261000.0,817;1385;3402;3491;3948;6815;9121;10836;13915;14998;19377;20661;23060;29160,4844;4845;4846;4847;4848;11940;12256;12257;12258;12259;12260;12261;12262;12263;13807;24105;24106;24107;24108;24109;24110;24111;24112;31791;37867;37868;37869;37870;37871;37872;37873;37874;37875;37876;37877;37878;37879;49219;49220;53234;53235;67400;67401;67402;67403;67404;67405;71975;71976;71977;71978;71979;79775;79776;101249;101250,5055
O00151,PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36),PDLIM1 CLIM1 CLP36,21,85.7,36.071,329,0.0,264.75,459990000.0,178;2998;3459;7606;9875;10559;12450;19566;20334;22085;22786;22787;23519;25669;25670;27304;27638;28681;29732;30042;30043,575;576;10526;10527;12160;12161;12162;26608;34404;34405;36883;36884;36885;36886;36887;36888;43681;43682;43683;43684;68084;68085;70869;70870;70871;70872;70873;70874;70875;76786;76787;76788;76789;76790;76791;78970;78971;78972;78973;80984;80985;80986;80987;88405;88406;88407;88408;88409;88410;88411;88412;93948;93949;93950;93951;93952;93953;93954;93955;95300;95301;95302;95303;95304;95305;95306;95307;95308;95309;99522;99523;99524;99525;99526;99527;99528;99529;103277;103278;103279;103280;103281;103282;103283;104455;104456;104457;104458;104459;104460;104461,597
O00154,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),ACOT7 BACH,8,23.7,41.796,380,0.0,45.245,69506000.0,269;13963;18356;22103;24625;24626;24627;26788,868;869;870;871;49509;49510;49511;64150;64151;76856;84890;84891;84892;84893;84894;84895;84896;84897;84898;92361;92362;92363,897
O00159,Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb),MYO1C,6,8.6,121.68,1063,0.0,28.187,21111000.0,3717;9789;10060;18251;21355;28964,13045;13046;34085;34086;35059;63880;63881;63882;63883;74287;100516;100517;100518,13565
O00161,Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23),SNAP23,3,25.6,23.354,211,0.0,11.848,9901800.0,14528;19999;27344,51436;51437;94088;94089;94090,53718
O00170,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),AIP XAP2,9,33.6,37.664,330,0.0,32.498,36174000.0,1186;2802;6192;10818;12068;12668;20903;26625;28825,4071;9854;21911;37824;37825;42459;44432;72739;91829;91830;100074;100075;100076;100077;100078,4241
O00178,GTP-binding protein 1 (G-protein 1) (GP-1) (GP1),GTPBP1,4,6.9,72.453,669,0.0,13.234,2773500.0,15499;19626;26861;27835,54834;68290;92603;92604;96110,57404
O00186,Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C),STXBP3,2,4.6,67.764,592,0.0,5.4765,3142000.0,25439;26060,87586;89745,91654
O00193,Small acidic protein,SMAP C11orf58,7,33.9,20.332,183,0.0,78.334,98192000.0,7672;7673;13986;19594;23552;26208;26209,26791;26792;26793;49598;49599;49600;49601;49602;49603;49604;49605;68158;68159;68160;68161;68162;68163;81111;81112;81113;90336;90337;90338,27857
O00203,AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain),AP3B1 ADTB3A,17,20.7,121.32,1094,0.0,73.135,61730000.0,2539;3322;5634;6340;13225;15459;17029;18003;18307;18859;19871;20624;21648;23779;24024;29931;30381,8931;8932;8933;11695;20034;22481;46574;46575;46576;46577;54709;59683;59684;63085;63086;64031;65778;65779;65780;65781;69190;69191;69192;71847;75328;75329;75330;81961;81962;82790;82791;104072;104073;104074;105467;105468,9306
O00214,Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1),LGALS8,2,5.7,35.808,317,0.0071389,2.2323,932350.0,584;10180,2036;35508,2122
O00217,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (EC 7.1.1.2) (Complex I-23kD) (CI-23kD) (NADH-ubiquinone oxidoreductase 23 kDa subunit) (TYKY subunit)",NDUFS8,3,17.1,23.705,210,0.0,14.972,44496000.0,7342;16653;30505,25802;25803;25804;58505;58506;58507;105913,26842
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,14,39.8,47.463,422,0.0,46.524,165600000.0,23;769;2201;3938;5642;7531;13950;19702;26270;27212;27575;27590;29399;31178,56;57;2710;2711;2712;2713;7754;13786;13787;13788;13789;20060;20061;20062;20063;20064;20065;20066;20067;26405;26406;26407;26408;26409;26410;49370;49371;49372;68641;68642;68643;90511;90512;90513;90514;93618;93619;93620;93621;95072;95073;95130;95131;102183;108350;108351;108352;108353;108354,59
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,14,34.9,52.904,456,0.0,151.13,145920000.0,1392;1393;4627;5392;8688;11548;15372;16481;18496;18825;20523;25763;27255;28119,4869;4870;4871;4872;4873;4874;16396;16397;16398;16399;16400;19107;19108;19109;19110;30362;30363;30364;30365;40354;40355;40356;40357;40358;40359;54407;54408;54409;54410;54411;54412;57861;57862;64712;64713;64714;64715;64716;65663;71482;71483;71484;88726;93787;93788;93789;97166,5076
O00233,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),PSMD9,4,19.7,24.682,223,0.0,8.8243,22173000.0,4462;10648;15662;23760,15706;15707;37214;55329;55330;55331;81885;81886,16331
O00264,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),PGRMC1 HPR6.6 PGRMC,5,41.0,21.671,195,0.0,51.281,21501000.0,3548;6189;9625;9974;10848;23090,12440;21895;33550;34747;34748;34749;37916;79876;79877;79878,12940
O00267,Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein),SUPT5H SPT5 SPT5H,10,15.1,121.0,1087,0.0,44.173,24315000.0,4727;8005;8457;10770;24532;25281;26833;26881;28557;29967,16728;27949;29558;37702;37703;84560;84561;87036;92503;92672;98939;98940;98941;98942;104177;104178,17417
O00268,Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135),TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135,2,4.3,110.11,1085,0.0031206,2.7731,36470000.0,25671;27482,88413;94637,92525
O00273,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),DFFA DFF1 DFF45 H13,5,22.7,36.521,331,0.0,26.308,11215000.0,122;7470;7948;16132;21934,372;26183;27752;56764;76277,386
O00299,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,14,70.5,26.922,241,0.0,223.56,1504799999.9999998,666;5923;8989;11901;11902;13359;15235;16386;16670;17581;21510;28795;28796;31031,2337;2338;2339;2340;2341;2342;2343;2344;2345;2346;2347;2348;2349;2350;2351;21039;21040;21041;21042;21043;21044;21045;21046;21047;21048;21049;21050;21051;31359;31360;31361;31362;31363;31364;31365;31366;31367;31368;31369;41763;41764;41765;41766;41767;41768;41769;41770;41771;47096;53936;53937;53938;53939;53940;53941;53942;53943;53944;53945;53946;57569;57570;57571;57572;57573;57574;57575;57576;57577;57578;57579;57580;57581;57582;57583;57584;57585;58551;58552;58553;58554;58555;61654;61655;61656;61657;61658;61659;74851;74852;74853;74854;74855;74856;74857;74858;74859;74860;74861;74862;74863;99948;99949;99950;99951;99952;99953;99954;99955;99956;99957;99958;99959;99960;99961;99962;99963;99964;107885,2440
O00303,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),EIF3F EIF3S5,7,23.0,37.563,357,0.0,26.431,78004000.0,9043;17601;21245;26750;28592;28599;29469,31541;31542;31543;31544;31545;31546;31547;61714;61715;73893;92250;92251;99082;99083;99084;99085;99086;99087;99088;99089;99090;99091;99129;99130;99131;99132;99133;99134;102389,32774
O00330,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)",PDHX PDX1,7,17.4,54.122,501,0.0,22.846,40129000.0,10703;10991;12548;13836;19295;25426;29816,37428;37429;37430;37431;38430;44052;44053;44054;48965;67138;87557;103626;103627,38906
O00400,Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1),SLC33A1 ACATN AT1,2,4.4,60.908,549,0.00029691,3.6167,2609400.0,5753;31311,20427;108810,21240
O00401,Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP),WASL,2,8.3,54.826,505,0.0,13.577,1065900.0,9626;25434,33551;87576,34874
O00410,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,32,44.3,123.63,1097,0.0,273.83,530340000.0,1305;2438;6105;6207;6425;9008;9119;9575;12147;12287;13255;15943;16188;16660;18284;19615;20302;21123;21603;21866;21887;23338;24587;26384;26508;27620;27847;28540;28658;29344;29481;30361,4520;4521;4522;4523;4524;4525;4526;8553;8554;8555;8556;8557;8558;21628;21629;21630;21631;21632;21633;21634;21635;21941;21942;21943;21944;21945;21946;22804;22805;22806;22807;31435;31436;31437;31438;31439;31784;33358;33359;33360;33361;42710;42711;43173;43174;43175;46653;46654;56193;56194;56195;56196;56197;56940;58523;58524;63963;63964;68249;68250;70755;73490;73491;73492;73493;75171;76059;76060;76061;76062;76143;76144;76145;76146;80483;80484;80485;80486;84761;90978;90979;90980;90981;90982;90983;91429;91430;91431;91432;91433;91434;91435;95235;95236;95237;95238;95239;96158;96159;96160;98876;98877;98878;98879;98880;98881;99463;99464;101953;101954;101955;101956;101957;101958;101959;101960;101961;101962;102420;105396;105397;105398;105399,4713
O00411,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",POLRMT,2,3.3,138.62,1230,0.0,28.885,5483300.0,3152;21712,10992;75583;75584,11451
O00418,Eukaryotic elongation factor 2 kinase (eEF-2 kinase) (eEF-2K) (EC 2.7.11.20) (Calcium/calmodulin-dependent eukaryotic elongation factor 2 kinase),EEF2K,2,3.6,82.143,725,0.0,6.849,4405000.0,23125;31082,79953;108032,83707
O00422,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),SAP18 GIG38,8,52.3,17.561,153,0.0,63.582,131410000.0,6547;7138;9279;11193;11641;15160;15378;29739,23210;25211;25212;25213;25214;32332;39144;40736;40737;53721;54425;54426;54427;54428;54429;54430;54431;54432;54433;103326,24159
O00425,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3),IGF2BP3 IMP3 KOC1 VICKZ3,25,53.2,63.704,579,0.0,115.3,340150000.0,657;1257;1719;4736;6024;9449;11186;12794;13111;13135;13660;13703;14129;14170;14509;15148;15463;15503;18330;18431;19818;20502;22222;24295;24354;26313;27472;27838,2308;4317;4318;4319;4320;6048;6049;6050;6051;16757;16758;16759;16760;21360;21361;21362;21363;32900;32901;32902;39129;39130;39131;44869;44870;44871;44872;44873;44874;44875;44876;44877;46132;46133;46134;46135;46136;46137;46138;46222;48383;48384;48385;48386;48500;48501;48502;48503;50041;50042;50043;50044;50045;50178;50179;50180;51338;51339;51340;51341;51342;53687;53688;53689;54733;54734;54735;54736;54841;54842;54843;64086;64087;64513;64514;64515;69049;71397;71398;71399;71400;71401;71402;71403;71404;71405;71406;71407;71408;71409;77267;83745;83746;83747;83976;90721;90722;90723;94578;94579;94580;94581;94582;96125;96126;96127;96128;96129;96130;96131,2398
O00429,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),DNM1L DLP1 DRP1,14,29.3,81.876,736,0.0,73.188,53869000.0,664;8037;8453;8926;10544;11894;13258;14035;20036;21623;23562;24425;25191;26595,2334;28093;29546;31141;31142;31143;31144;31145;36855;36856;36857;41730;41731;41732;41733;46658;46659;46660;46661;46662;49744;69789;75241;81132;84231;84232;86767;91733,2424
O00442,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1),RTCA RPC RPC1 RTC1 RTCD1,3,8.7,39.336,366,0.0,6.1999,18661000.0,4460;10418;22481,15704;36388;36389;36390;36391;78119,16328
O00461,"Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)",GOLIM4 GIMPC GOLPH4 GPP130,6,9.1,81.879,696,0.0,10.932,13364000.0,5388;6450;16928;21252;22652;25019,19082;19083;22865;59412;73916;78590;78591;78592;86139,19840
O00468,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],AGRN AGRIN,27,21.0,217.32,2068,0.0,206.31,112240000.0,62;2263;5364;7379;7699;8561;8703;9779;10776;11109;11312;11534;13212;15213;16082;17038;22876;23449;23486;23879;24827;26933;27862;28450;28939;29633;29891,183;7966;7967;18978;18979;25928;25929;25930;25931;26879;26880;29952;29953;30399;34052;34053;37718;38846;39524;39525;40327;46519;46520;46521;46522;53854;53855;53856;53857;56617;59715;59716;59717;79249;80771;80895;80896;80897;82292;85567;85568;92787;92788;96232;96233;98544;100431;100432;102912;102913;103930;103931,189
O00469,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)",PLOD2,13,23.9,84.685,737,0.0,61.731,116030000.0,355;4050;6072;10347;13248;14352;14647;14714;16411;19352;23810;29858;31004,1216;1217;14165;21521;21522;21523;36117;36118;36119;36120;36121;36122;46632;50724;50725;50726;50727;50728;51922;51923;51924;52184;52185;52186;52187;57683;57684;57685;67328;67329;67330;82051;82052;103790;103791;103792;103793;107790;107791,1264
O00483,Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit),NDUFA4,5,55.6,9.3697,81,0.0,9.8486,104050000.0,9643;16508;17480;21271;22292,33589;33590;33591;33592;33593;33594;57942;57943;61314;61315;61316;61317;61318;61319;61320;73995;73996;73997;73998;73999;74000;77476;77477,34919
O00487,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),PSMD14 POH1,8,42.9,34.577,310,0.0,56.562,96688000.0,2655;2686;7204;12417;17379;17731;25596;28563,9322;9323;9324;9325;9326;9452;9453;9454;9455;9456;9457;9458;25406;43574;43575;43576;43577;43578;60880;60881;62141;62142;88132;98964;98965;98966;98967,9709
O00505,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),KPNA3 QIP2,10,30.5,57.81,521,0.0,83.04,82468000.0,2172;2733;4741;4911;5401;13172;15046;18285;21345;21703,7661;7662;9652;16787;17293;17294;17295;17296;17297;19135;46361;46362;46363;46364;46365;46366;46367;53391;53392;53393;53394;63965;63966;74260;74261;75541;75542;75543;75544;75545,7980
O00515,Ladinin-1 (Lad-1) (Linear IgA disease antigen) (LADA),LAD1 LAD,13,36.4,57.13,517,0.0,119.17,146250000.0,11001;11346;14113;15064;15153;18657;18687;21193;21505;22948;24936;26577;26990,38448;38449;38450;38451;38452;39658;39659;39660;39661;49991;49992;49993;53439;53440;53703;53704;53705;65193;65194;65195;65196;65246;65247;65248;65249;65250;65251;73718;73719;74819;74820;74821;74822;74823;79457;85895;85896;85897;85898;91670;92982;92983;92984,39966
O00541,Pescadillo homolog,PES1,7,17.2,68.002,588,0.0,27.152,47755000.0,1034;9038;10771;14500;16559;17004;29999,3574;3575;3576;31521;31522;31523;31524;37704;37705;51299;51300;58161;59607;59608;59609;104297,3716
O00560,Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1),SDCBP MDA9 SYCL,6,33.2,32.444,298,0.0,58.265,28286000.0,4932;8718;20432;24256;24684;28648,17354;30470;71139;83617;83618;83619;85064;85065;99440;99441,18055
O00566,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),MPHOSPH10 MPP10,11,23.9,78.863,681,0.0,58.331,85523000.0,2536;13429;15936;16706;19131;19369;19921;25683;29671;29672;29971,8924;8925;8926;47428;56171;56172;56173;56174;58683;58684;58685;58686;58687;66588;67371;67372;67373;67374;69348;88473;88474;88475;88476;103060;103061;103062;104186,9299
O00567,Nucleolar protein 56 (Nucleolar protein 5A),NOP56 NOL5A,22,47.0,66.049,594,0.0,143.37,223810000.0,5580;6000;6020;7036;7037;8054;9379;11061;12917;13571;16385;16968;17640;18155;19102;20438;22367;24019;25388;28911;29969;31121,19804;19805;19806;19807;21252;21253;21254;21255;21352;24888;24889;24890;24891;24892;28166;28167;28168;28169;28170;32669;32670;38681;38682;45301;45302;45303;45304;45305;45306;45307;47919;47920;47921;57563;57564;57565;57566;57567;57568;59526;59527;61812;61813;61814;63570;63571;66507;66508;66509;71153;71154;71155;71156;71157;71158;77727;82781;82782;87460;100343;100344;100345;104181;104182;108150;108151;108152;108153;108154;108155;108156,20591
O00571,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,32,61.5,73.243,662,0.0,212.56,519380000.0,4004;4292;4331;4759;4878;4916;6846;9680;9863;10323;10870;12601;12640;14623;15265;17078;20248;22121;22781;22996;23772;24004;24238;24873;25662;28436;28474;29465;30013;30126;30857;31040,14006;14007;15003;15004;15005;15006;15129;15130;15131;15132;15133;15134;15135;16826;16827;16828;17186;17315;17316;24244;24245;33720;34356;34357;34358;36026;37963;37964;37965;37966;37967;44232;44233;44356;44357;44358;44359;44360;44361;51837;51838;51839;51840;51841;54018;54019;54020;59820;59821;59822;59823;59824;59825;59826;70585;70586;70587;70588;76907;76908;76909;76910;78959;78960;79603;81918;82737;82738;82739;82740;82741;82742;82743;83563;83564;85716;85717;85718;85719;85720;85721;85722;88386;88387;88388;88389;98487;98488;98489;98490;98491;98624;98625;98626;98627;98628;98629;98630;98631;102381;102382;104348;104349;104350;104351;104693;104694;107260;107261;107262;107913;107914;107915,14553
O00584,Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6),RNASET2 RNASE6PL,2,10.2,29.48,256,0.0,8.5246,19060000.0,6864;17417,24302;24303;24304;24305;24306;61070;61071;61072;61073,25293
O00625,"Pirin (EC 1.13.11.24) (Probable quercetin 2,3-dioxygenase PIR) (Probable quercetinase)",PIR,4,14.8,32.113,290,0.0,7.3903,13053000.0,3739;7527;23822;26946,13119;26397;82081;92821,13640
