Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
A6NCQ0,Collagen type XVI alpha 1 chain,COL16A1,3,22.2,19.961,966,0.0,12.533,43123000,8154;12148;14223,37748;54780;54781;64042,51463
A6NCT7,"3'(2'), 5'-bisphosphate nucleotidase 1",BPNT1,2,3.4,96.792,291,0.001816,2.0362,21675000,973;9009,4840;40684,6672
A6NF51,Leukocyte immunoglobulin-like receptor subfamily A member 5 (CD85 antigen-like family member F) (Immunoglobulin-like transcript 11) (ILT-11) (Leukocyte immunoglobulin-like receptor 9) (LIR-9) (CD antigen CD85f),LILRA5 ILT11 LILRB7 LIR9,3,10.0,31.707,299,0.0,4.995,18306000,7469;13750;15274,35217;62277;69777,48134
A6NI73-4,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),USP14,2,8.3,27.852,448,0.0,2.7181,32325000,1788;4818,7728;22262,10506
A6NJA2,FAM3 metabolism regulating signaling molecule B,FAM3B,2,4.0,51.086,258,0.0052053,1.5897,26428000,1867;16748,7950;76550,10783
A8MTF8,Integrin beta,ITGB2 hCG_401305,2,6.6,28.282,712,0.0057438,1.4897,24921000,4822;10553,22270;47891,30912
C9JPH8,Leukocyte immunoglobulin like receptor A2,LILRA2,5,21.2,55.466,454,0.0,82.366,713140000,586;587;1784;1953;3543;8395;8445;11402;13638;13710,2621;2622;2623;2624;2625;2626;7721;7722;8158;16283;38389;38390;38531;38532;51426;51427;61801;62100,3701
A8MYE6,Seizure related 6 homolog like,SEZ6L,3,3.8,78.345,720,0.0029744,1.842,36845000,1500;13425;14552,7070;60745;60746;65929,9701
A8MZH0,Apolipoprotein C-III (Apolipoprotein C3),APOC3,7,26.9,49.982,117,0.0,131.02,1774900000,1787;1936;3548;6239;6598;8396;12708,7727;8110;8111;16293;16294;16295;29482;29483;29484;31315;38391;38392;38393;56930;56931,10505
B0QYH4,Vimentin (Vimentin variant 3),VIM,6,11.5,79.64,431,0.0,31.974,194530000,4264;9153;9422;10248;12541;14582,19822;41287;42376;45541;56228;56229;66488;66489,27441
B0YIW2,"Signal peptide, CUB domain and EGF like domain containing 1",SCUBE1,2,23.1,12.815,347,0.0,50.212,828390000,2010;6600,8428;8429;8430;8431;31374;31375,11378
B0YJC4,F-actin-capping protein subunit beta,CAPZB,13,28.8,49.653,244,0.0,43.234,320300000,4509;4528;4560;6451;7574;7820;9347;10915;11592;11980;12079;12115;15030,21069;21070;21369;21453;30462;35472;35473;35474;35475;36404;42031;49477;52181;54105;54495;54496;54707;54708;54709;69038,29269
B1AH90,EPH receptor B2 (EPHB2 protein),EPHB2,4,13.5,37.306,482,0.0,8.4135,92980000,2350;5788;13760;16433,9580;26814;62299;62300;75092,12828
B1AK87,Periostin,POSTN,5,25.0,29.295,808,0.0,12.094,196420000,8297;10621;10923;13488;13574,38000;48171;49492;49493;61012;61621,51744
Q6NVW1,Adhesion G protein-coupled receptor L2,ADGRL2,4,11.8,53.252,1384,0.0,15.499,51357000,2072;2890;4259;14581,8602;12902;19812;19813;66487,11584
B1ALD9,Septin,SEPTIN6 SEPT6 hCG_23191,2,48.0,90.142,431,0.0018237,2.1007,237220000,5;2796;3577;3749;3899;5123;5413;5627;5972;5973;6333;6334;7255;7434;7453;7485;7831;7832;8323;8529;9471;9512;10706;12100;13028;13741;14594;14857;15199;15283;15362;15517,9;10;11;12517;12518;12519;12520;16404;16405;17115;18008;18009;18010;18011;18012;24077;24078;24079;25372;25373;25374;25375;26105;26106;26107;26108;28277;28278;28279;28280;29843;29844;29845;29846;29847;34446;34447;35094;35095;35096;35097;35098;35099;35149;35150;35245;35246;36460;36461;36462;36463;38097;38746;42605;42695;42696;48429;48430;54667;54668;58547;62240;62241;62242;62243;66519;66520;66521;66522;66523;68417;68418;68419;69582;69583;69584;69585;69586;69789;70129;70130;70684;70685;70686;70687;70688;70689;70690;70691;70692,12
B1ALU1,"CD58 antigen, (Lymphocyte function-associated antigen 3), isoform CRA_c (CD58 molecule)",CD58 hCG_37075,6,6.6,155.55,240,0.0,31.248,235360000,628;629;4641;9522;13601;13840,2784;2785;21725;42715;61685;62658,3904
B1AMS2,CD55 molecule (Cromer blood group),CD55,3,9.3,49.303,444,0.0,11.092,39077000,12381;13060;13587,55677;58789;61653,74892
B1AMW1,ADAMTS like 2,ADAMTSL2,5,15.0,27.018,1060,0.0,11.241,735390000,2491;6011;6012;10322;14795,10626;28414;28415;45948;45949;68175;68176,14304
B1AP13,thioredoxin-disulfide reductase (EC 1.8.1.9),TXNRD1,13,34.7,49.338,482,0.0,138.63,3096100000,1529;2937;3770;3771;5690;9934;11930;12028;12225;12591;12604;14493;16358,7129;13429;13430;17227;17228;17229;17230;17231;26377;26378;44183;44184;44185;53921;53922;53923;54344;54345;54346;54347;55154;55155;56456;56491;65638;65639;65640;65641;65642;65643;65644;74526,9765
C9JIZ6,Nucleosome assembly protein 1 like 1,NAP1L1,13,27.0,58.353,327,0.0,44.567,1413700000,2254;2692;3703;3732;5423;6309;6837;8345;9091;11212;11567;12683;13141,9261;12154;16859;16860;16961;16962;25415;25416;25417;25418;25419;29755;32209;38143;38144;41005;41006;41007;41008;50713;50714;52050;52051;52052;56818;56819;59674,12423
B1B0D4,"Farnesyltransferase, CAAX box, alpha (Farnesyltransferase, CAAX box, alpha, isoform CRA_c) (cDNA FLJ16794 fis, clone TBAES2007504, highly similar to Protein farnesyltransferase/geranylgeranyltransferase type I alpha subunit)",FNTA hCG_1993221,18,23.3,116.28,228,0.0,216.4,7025500000,1948;5399;6112;8392;8409;8687;10104;10413;10597;10690;10986;11690;12520;12882;15681;16066;16067;16478,8142;8143;25331;25332;28771;38383;38384;38385;38421;38422;39250;39251;44909;44910;46890;46891;46892;46893;48125;48126;48370;48371;48372;49821;49822;49823;52884;52885;52886;52887;56154;56155;56156;58034;58035;58036;71458;71459;72957;72958;72959;72960;75269;75270;75271,11018
E9PIR7,"Microfibril associated protein 5 (cDNA FLJ42377 fis, clone UTERU2035469, highly similar to Microfibrillar-associated protein 5)",MFAP5,11,27.2,53.166,148,0.0,49.267,349990000,4881;5622;7354;8260;8490;11635;13626;15050;15552;16027;16255,22576;22577;26072;26073;34882;37929;38679;52530;61771;69102;70790;72868;74085;74086,31310
F8VV59,"Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase)",HARS1,6,20.8,38.028,395,0.0,163.16,258490000,5261;5262;5888;8750;11194;16450,24711;24712;24713;27198;39467;39468;39469;39470;50660;50661;75141;75142;75143;75144,34095
B3KVN2,Calponin,CNN2,2,14.0,27.443,298,0.0,7.3392,10289000,2767;10185,12389;45128,16606
B3KW70,receptor protein-tyrosine kinase (EC 2.7.10.1),ERBB3,3,21.6,17.114,921,0.0,8.7366,249280000,3667;10250;11486,16737;16738;16739;45543;45544;51728;51729,22725
B4E1C5,cDNA FLJ59324,,2,4.3,43.878,537,0.0041008,1.7222,39052000,7333;12205,34789;55114,47603
B4DDF4,"Endothelin converting enzyme 1 (cDNA FLJ59212, highly similar to Endothelin-converting enzyme 1)",ECE1,3,12.1,32.616,738,0.0,5.3797,56436000,6055;9737;14716,28561;43449;67001;67002,39065
B4DGQ7,Lipolysis stimulated lipoprotein receptor,LSR,5,7.1,101.76,601,0.0,9.9957,93261000,6463;7559;9952;9995;12605,30478;35432;44311;44487;44488;44489;56492,41860
B4DHB2,N-acyl-aliphatic-L-amino acid amidohydrolase (EC 3.5.1.14) (N-acyl-L-amino-acid amidohydrolase),,2,3.0,57.48,498,0.0,3.8769,87265000,3529;16341,16002;16003;74369,21545
B4DKB2,"Abhydrolase domain containing 14B (cDNA FLJ52723, highly similar to Abhydrolase domain-containing protein 14B)",ABHD14B,6,11.1,83.573,188,0.0,19.715,72576000,345;1153;2691;7013;10652;15120,1240;5703;12152;12153;32782;48281;69260,1663
S4R3V8,receptor protein-tyrosine kinase (EC 2.7.10.1),ERBB2,10,25.4,55.253,603,0.0,50.337,602240000,2958;3807;6588;7094;7721;9342;9343;11669;13363;15536,13504;13505;17300;17301;31283;31284;33717;35980;35981;35982;35983;42024;42025;52640;52641;60509;70736,18173
B4DNW0,Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1),MTAP,9,24.1,55.994,242,0.0,45.574,229870000,435;1268;2878;3632;9139;9453;14414;14674;16061,1950;6184;12872;16647;16648;41229;41230;42523;65323;66907;66908;72948;72949,2715
B4DQI4,"Ubiquitin B (cDNA FLJ51326, highly similar to Homo sapiens ubiquitin B (UBB), mRNA)",UBB,2,14.4,19.756,153,0.0,2.9111,9727700,1216;3638,6031;16668,8356
F5H1T4,mitogen-activated protein kinase (EC 2.7.11.24),MAPK14,2,3.3,66.542,283,0.0,3.192,34044000,6232;14909,29464;68562,40366
J3QSB7,Complement C2 (EC 3.4.21.43) (C3/C5 convertase),,3,18.6,26.777,1266,0.0,8.0908,22545000,4394;7369;14714,20292;20293;34939;66999,28060
B4DV12,"cDNA FLJ57169, highly similar to Signaling lymphocytic activation molecule",,6,77.1,17.215,269,0.0,95.805,1096600000,3599;4222;7727;9214;14148;14270,16471;19724;36002;36003;36004;41644;63674;63675;63676;63677;64276;64277,22384
B4E0K5,adenosine deaminase (EC 3.5.4.4),ADA2,4,19.8,32.357,469,0.0,13.57,23815000,2583;7007;9938;10428,11061;32766;44287;44288;46970,14838
B4E1Z4,Transcobalamin 2,TCN2,6,34.8,140.94,423,0.0,27.991,154740000,726;747;1275;1276;1845;1846;2023;2161;2280;2346;3222;3327;3450;3736;3904;3905;4453;4734;5347;5348;6676;6679;8791;8792;9382;9940;10356;10473;10631;10632;11055;11361;11844;11931;11932;12027;12379;12380;12416;12417;13358;13401;13742;13743;14310;14418;15608,3048;3049;3126;3127;3128;3129;3130;3131;3132;3133;3134;3135;3136;3137;3138;3139;3140;3141;3142;3143;3144;3145;3146;3147;3148;3149;3150;3151;3152;3153;3154;3155;3156;3157;3158;3159;3160;3161;3162;3163;3164;3165;3166;3167;3168;3169;3170;3171;3172;3173;3174;3175;3176;3177;3178;3179;3180;3181;3182;3183;3184;3185;3186;3187;3188;3189;3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3200;3201;3202;3203;3204;3205;3206;3207;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217;3218;3219;3220;3221;6204;6205;6206;6207;6208;6209;6210;6211;6212;6213;6214;6215;6216;6217;6218;6219;6220;6221;6222;6223;6224;6225;6226;6227;6228;6229;6230;6231;6232;6233;6234;6235;6236;6237;6238;6239;6240;6241;6242;6243;6244;6245;6246;6247;6248;6249;7862;7863;7864;7865;7866;7867;7868;7869;7870;7871;7872;7873;7874;7875;7876;7877;7878;7879;7880;7881;7882;7883;7884;7885;7886;8479;8480;8833;9315;9316;9317;9318;9319;9320;9321;9322;9323;9324;9325;9326;9327;9328;9329;9330;9331;9332;9333;9334;9537;9538;9539;9540;9541;9542;9543;9544;9545;9546;9547;9548;9549;9550;9551;9552;9553;9554;9555;9556;9557;9558;9559;9560;9561;9562;9563;9564;9565;9566;9567;9568;9569;9570;9571;14776;15125;15126;15127;15128;15129;15130;15131;15132;15133;15528;16967;16968;16969;16970;16971;16972;16973;16974;16975;16976;16977;16978;16979;16980;16981;16982;16983;16984;16985;18123;18124;18125;18126;18127;18128;18129;18130;18131;18132;18133;18134;18135;18136;20849;20850;20851;20852;20853;20854;20855;20856;22035;22036;24934;24935;24936;24937;24938;24939;24940;24941;24942;24943;24944;24945;24946;24947;24948;24949;24950;24951;24952;24953;24954;24955;24956;24957;24958;24959;24960;24961;24962;24963;24964;24965;24966;24967;24968;24969;24970;24971;24972;24973;24974;24975;24976;24977;24978;24979;24980;24981;24982;24983;24984;24985;24986;24987;24988;24989;24990;24991;24992;24993;24994;24995;24996;24997;24998;24999;25000;25001;25002;25003;25004;25005;25006;25007;25008;25009;25010;25011;25012;25013;25014;25015;25016;25017;25018;25019;25020;25021;25022;25023;25024;25025;25026;25027;25028;25029;31695;31696;31697;31698;31699;31700;31701;31702;31703;31704;31705;31706;31707;31708;31709;31710;31711;31712;31713;31714;31715;31716;31717;31718;31719;31720;31721;31722;31723;31726;31727;31728;31729;31730;31731;31732;31733;31734;31735;31736;31737;31738;31739;31740;31741;31742;31743;31744;31745;31746;31747;31748;31749;31750;31751;31752;31753;31754;31755;31756;31757;31758;31759;31760;31761;31762;31763;31764;31765;31766;31767;31768;31769;31770;31771;31772;31773;31774;31775;31776;31777;31778;31779;39752;39753;39754;39755;42131;42132;42133;42134;42135;42136;42137;42138;42139;42140;42141;42142;42143;42144;42145;42146;42147;42148;42149;42150;42151;42152;42153;42154;42155;42156;42157;42158;42159;42160;42161;42162;42163;42164;42165;42166;42167;42168;42169;42170;42171;42172;42173;42174;42175;42176;42177;42178;42179;42180;42181;42182;42183;42184;42185;42186;42187;42188;42189;42190;42191;42192;42193;42194;42195;42196;42197;42198;42199;42200;42201;42202;42203;42204;42205;42206;42207;42208;42209;42210;42211;42212;44290;46419;46420;46421;46422;46423;46424;46425;46426;46427;46428;46429;46430;46431;46432;46433;46434;46435;46436;46437;46438;46439;46440;46441;46442;46443;46444;46445;46446;46447;46448;46449;46450;46451;46452;46453;46454;46455;46456;46457;46458;46459;46460;46461;46462;46463;46464;46465;46466;46467;46468;46469;46470;46471;46472;46473;46474;46475;46476;46477;46478;46479;46480;46481;46482;46483;46484;46485;46486;46487;46488;46489;46490;46491;46492;46493;46494;46495;46496;46497;46498;46499;46500;46501;46502;46503;46504;46505;46506;46507;46508;46509;46510;46511;47281;47282;47283;47284;47285;47286;47287;47288;47289;47290;47291;47292;48195;48196;48197;48198;48199;48200;48201;48202;48203;48204;48205;48206;48207;48208;48209;48210;48211;48212;48213;48214;48215;48216;48217;48218;48219;48220;48221;48222;48223;48224;50032;50033;50034;50035;50036;50037;50038;50039;50040;50041;50042;50043;50044;50045;50046;50047;50048;50049;50050;50051;50052;50053;50054;50055;50056;50057;50058;50059;50060;50061;50062;50063;50064;50065;50066;50067;50068;50069;50070;50071;50072;50073;50074;50075;50076;50077;50078;50079;50080;50081;50082;50083;50084;50085;50086;50087;50088;50089;50090;50091;50092;50093;50094;50095;50096;50097;50098;50099;50100;50101;50102;50103;50104;50105;50106;50107;50108;50109;50110;50111;50112;50113;50114;50115;50116;50117;50118;50119;50120;50121;50122;50123;50124;50125;50126;50127;50128;50129;50130;50131;50132;50133;50134;50135;50136;50137;50138;50139;50140;50141;50142;50143;50144;50145;50146;50147;50148;50149;50150;50151;50152;50153;50154;50155;50156;51225;51226;51227;51228;51229;51230;51231;51232;51233;51234;51235;51236;51237;51238;51239;51240;51241;51242;51243;51244;51245;51246;51247;51248;51249;51250;51251;51252;51253;51254;51255;51256;51257;51258;51259;51260;51261;51262;51263;51264;51265;51266;51267;53578;53924;53925;53926;53927;53928;53929;53930;53931;53932;53933;53934;53935;53936;53937;53938;53939;53940;54342;54343;55620;55621;55622;55623;55624;55625;55626;55627;55628;55629;55630;55631;55632;55633;55634;55635;55636;55637;55638;55639;55640;55641;55642;55643;55644;55645;55646;55647;55648;55649;55650;55651;55652;55653;55654;55655;55656;55657;55658;55659;55660;55661;55662;55663;55664;55665;55666;55667;55668;55669;55670;55671;55672;55673;55674;55675;55676;55790;55791;55792;55793;55794;55795;55796;55797;55798;55799;55800;55801;55802;55803;55804;55805;55806;55807;55808;55809;60499;60647;60648;60649;60650;60651;60652;60653;60654;60655;60656;60657;60658;60659;60660;60661;60662;60663;62244;62245;62246;62247;62248;62249;62250;62251;62252;62253;62254;62255;62256;62257;62258;62259;62260;62261;62262;62263;62264;64464;64465;65331;71122;71123,4265
B4E2E4,Protein phosphatase 1 regulatory subunit 7,PPP1R7,3,10.8,29.984,274,0.0,3.2515,25095000,10208;13087;15460,45191;59346;70376,61091
B4E3Q4,Septin-2,SEPTIN2,20,42.4,54.36,321,0.0,323.31,7833900000,2420;3010;3249;4540;4793;5199;5294;6068;7366;7497;9661;11155;11785;13025;13210;13352;14759;16279;16280;16947,10294;10295;10296;10297;13828;13829;13830;14920;14921;14922;14923;21412;21413;21414;22196;22197;22198;24520;24521;24522;24523;24838;24839;24840;24841;28590;28591;28592;28593;28594;28595;28596;28597;28598;28599;28600;28601;28602;34933;34934;35266;35267;35268;43200;43201;43202;50547;53441;53442;58541;58542;59873;59874;60488;60489;60490;67234;67235;67236;67237;74145;74146;74147;74148;77274;77275;77276;77277,13875
B5MBX2,Leukocyte immunoglobulin like receptor A6,LILRA6,14,32.9,47.142,464,0.0,26.962,904830000,2235;2762;3383;3539;5317;9100;9860;9897;12002;13227;14677;14744;16240;16241,9066;12376;12377;15321;15322;16059;24883;24884;41103;41104;41105;43851;43992;54232;60015;66912;67154;67155;67156;67157;67158;67159;74048;74049;74050;74051,12192
B5MBZ8,"Sushi, nidogen and EGF like domains 1",SNED1,4,18.6,31.357,599,0.0,31.376,174170000,582;1635;3825;7256,2615;2616;7384;7385;17510;34448,3694
B5MCX3,"cDNA FLJ57258, highly similar to Neurotrimin",,5,23.4,36.94,346,0.0,31.163,56850000,1067;7529;10236;13487;14122,5213;35359;45515;61011;63588,7161
B5ME96,Calpastatin (Calpain inhibitor),CAST,6,15.3,50.884,423,0.0,10.068,371930000,3547;3574;3627;3628;6619;6628;16848,16291;16292;16391;16392;16640;16641;31409;31410;31424;31425;76916;76917,22159
B5MEF5,Amyloid beta precursor like protein 1,APLP1,26,24.3,148.7,611,0.0,257.73,1720300000,771;1628;1770;1777;1922;1923;2593;2783;3221;3278;3856;4157;4166;4424;6657;6690;9016;10616;11513;11877;12460;13406;13680;15236;15876;16574,3271;7374;7698;7709;8083;8084;8085;8086;11154;11155;12491;14774;14775;14999;17833;17834;17835;19453;19551;20783;20784;20785;31517;31796;31797;40704;40705;48163;51810;53688;55940;60688;61932;61933;61934;61935;69684;69685;72095;72096;72097;75773,4557
B7Z1I4,"Myosin light chain 6 (Myosin, light polypeptide 6, alkali, smooth muscle and non-muscle, isoform CRA_d)",MYL6 hCG_2039617,12,38.4,38.249,115,0.0,134.06,1486300000,1263;4136;6437;6443;6444;11649;13481;13482;14544;15035;15254;15961,6173;6174;19135;19136;19137;30385;30386;30387;30435;30436;30437;30438;52556;61002;61003;61004;61005;61006;65911;69046;69730;69731;72563;72564;72565;72566;72567,8549
E7EQ12,Eukaryotic peptide chain release factor subunit 1,ETF1,4,17.5,46.133,423,0.0,58.727,110250000,6484;8556;11906;12739,30534;30535;38805;53746;57214,41927
F5GZ08,Tyrosine-protein kinase receptor (EC 2.7.10.1),NTRK3,8,17.2,68.49,617,0.0,50.95,379560000,53;1688;4464;5055;6391;7080;15046;15275,149;150;151;7532;7533;20909;23412;23413;29979;29980;33217;33218;69095;69096;69778,208
G3V1Y7,Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77),,4,40.0,13.159,192,0.0,10.752,118970000,2800;3213;7046;15394,12532;14748;33103;33104;70213,16813
B7Z7P8,ADP-ribosylation factor 3,ARF3,2,5.9,47.475,181,0.0,4.8717,21485000,9911;17027,44100;77580,59692
B7Z7U4,ITIH4 protein (Inter-alpha-trypsin inhibitor heavy chain 4),ITIH4,4,6.5,69.019,935,0.0,35.628,253590000,8847;9590;16082;16083,39918;39919;39920;43031;43032;72987;72988,54248
B7Z972,Interleukin 7 receptor,IL7R,2,8.9,20.683,150,0.0023923,1.9082,53078000,15294;15698,69820;69821;71511,94648
B7ZB63,Interleukin 1 receptor type 1,IL1R1,2,11.8,16.145,173,0.002414,2.0201,21068000,2038;9077,8515;8516;40951,11483
B7ZKJ8,Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1),IGLL5,30,39.3,103.88,214,0.0,264.14,29670000000,246;443;899;2794;4276;4542;4843;6179;6324;7526;7691;7871;7872;8615;9121;9688;10181;10429;10723;10942;11208;11250;11349;11672;11822;12334;13268;15688;16678;17083,946;947;1961;4643;12514;12515;19838;21417;21418;22444;22445;29017;29789;29790;35354;35355;35911;36577;36578;36579;36580;36581;39016;41193;41194;43282;45123;46971;46972;46973;46974;46975;48462;49553;50697;50698;50699;50863;50864;51202;52648;53526;53527;53528;53529;53530;53531;55486;60108;60109;71476;76311;76312;76313;76314;77886;77887;77888;77889;77890;77891;77892;77893;77894;77895;77896;77897;77898;77899,1304
D6RDM4,Nicotinate phosphoribosyltransferase (EC 6.3.4.21),NAPRT NAPRT1 hCG_32062,2,12.0,16.787,490,0.0,4.1584,0,8180;8328,37800;38102,51524
B9A040,Calcium voltage-gated channel auxiliary subunit alpha2delta 2,CACNA2D2,3,28.9,19.879,1144,0.0,110.17,104960000,5198;7457;14417,24519;35159;65330,33856
B9A064,Acylamino-acid-releasing enzyme (EC 3.4.19.1) (Acyl-peptide hydrolase) (Acylaminoacyl-peptidase),APEH,3,46.7,23.063,737,0.0,126.38,43815000000,509;894;1183;12010;13651;14610;15958;16420,2394;2395;2396;2397;2398;2399;4601;4602;4603;4604;4605;4606;4607;4608;4609;4610;4611;4612;4613;4614;4615;4616;4617;4618;4619;4620;4621;4622;4623;4624;4625;4626;4627;4628;4629;4630;4631;5902;5903;5904;5905;5906;5907;5908;5909;5910;5911;5912;5913;5914;5915;5916;5917;5918;5919;5920;5921;5922;5923;5924;5925;54249;54250;54251;54252;54253;54254;54255;54256;54257;54258;54259;54260;54261;54262;54263;54264;61846;61847;61848;61849;61850;61851;61852;61853;61854;61855;61856;61857;61858;61859;61860;61861;61862;61863;61864;61865;61866;61867;61868;61869;61870;61871;66669;66670;66671;66672;66673;66674;66675;66676;66677;66678;66679;66680;66681;66682;66683;66684;66685;66686;66687;66688;66689;66690;66691;66692;66693;72523;72524;72525;72526;72527;72528;72529;72530;72531;72532;72533;72534;72535;72536;72537;72538;72539;72540;72541;72542;72543;72544;72545;72546;72547;72548;72549;74922;74923;74924;74925;74926;74927;74928;74929;74930;74931;74932;74933;74934;74935;74936;74937;74938;74939;74940;74941;74942;74943;74944;74945;74946;74947;74948;74949;74950;74951;74952;74953;74954;74955;74956;74957;74958;74959;74960;74961;74962;74963;74964;74965;74966;74967;74968;74969;74970;74971;74972;74973;74974;74975;74976;74977;74978;74979;74980;74981;74982;74983;74984;74985;74986;74987;74988;74989;74990;74991;74992;74993;74994;74995;74996;74997;74998;74999;75000;75001;75002;75003;75004;75005;75006;75007;75008;75009;75010;75011;75012;75013;75014;75015;75016;75017;75018;75019;75020;75021;75022;75023;75024;75025;75026,3417
C9J8U2,Paired immunoglobin like type 2 receptor alpha,PILRA,2,5.9,52.161,226,0.0,6.507,11447000,1956;12877,8161;58019,11039
C9JE82,Alpha-2-HS-glycoprotein (Fetuin-A),AHSG,3,4.0,129.21,368,0.0,4.5163,67649000,4266;7671;8256;8761,19824;35868;35869;37922;39497,27443
C9JIF9,Insulin-like growth factor-binding protein 1,IGFBP1,3,4.5,81.673,257,0.0,2.803,43665000,699;12546;16015,2994;56257;56258;72814,4190
C9JJ79,Neuronal cell adhesion molecule,NRCAM,3,12.4,25.577,1211,0.0,13.451,284550000,9857;11534;11979,43847;43848;51917;51918;54104,59373
C9JV77,ABI family member 3 binding protein,ABI3BP,6,35.3,39.411,1786,0.0,119.66,669980000,993;3666;7014;11914;14699;16122,4877;16736;32783;32784;53898;53899;66956;66957;66958;73310;73311,6715
