Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized median-scaling 1st,LNCaP/RWPE-1 normalized median-scaling 2nd,LNCaP/RWPE-1 normalized median-scaling 3rd,Best MS/MS
O00231,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,0.878572132,0.863055636,0.908382643,397
O00232,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,0.874623338,0.943273338,0.85821499,15715
O00244,Copper transport protein ATOX1 (Metal transport protein ATX1),ATOX1 HAH1,1.458296406,1.797844987,1.739151874,136466
O00273,DNA fragmentation factor subunit alpha (DNA fragmentation factor 45 kDa subunit) (DFF-45) (Inhibitor of CAD) (ICAD),DFFA DFF1 DFF45 H13,0.861201379,0.839384511,0.870621302,1548
O00299,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),CLIC1 G6 NCC27,0.354406696,0.345322301,0.337001972,8070
O00303,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),EIF3F EIF3S5,0.928104382,0.800726341,0.83964497,36493
O00330,"Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)",PDHX PDX1,2.084096504,1.926605505,2.013708087,23242
O00410,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,0.54878385,0.524396466,0.573343195,14279
O00425,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3),IGF2BP3 IMP3 KOC1 VICKZ3,0.142717873,0.157464008,0.163175542,58274
O00429,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),DNM1L DLP1 DRP1,0.434199902,0.430392284,0.434142012,8020
O00442,RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4) (RNA terminal phosphate cyclase domain-containing protein 1) (RTC domain-containing protein 1),RTCA RPC RPC1 RTC1 RTCD1,2.121811915,2.056066351,1.892504931,11098
O00483,Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit),NDUFA4,2.774002954,2.051964423,2.713708087,109299
O00487,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),PSMD14 POH1,0.891196455,0.814272708,0.812149901,32000
O00505,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),KPNA3 QIP2,0.435312654,0.435244565,0.408461538,9021
O00515,Ladinin-1 (Lad-1) (Linear IgA disease antigen) (LADA),LAD1 LAD,0.465593304,0.38300001,0.389201183,29671
O00541,Pescadillo homolog,PES1,1.299261448,1.183556271,1.400295858,101298
O00560,Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1),SDCBP MDA9 SYCL,0.633963565,0.653026923,0.654802761,23553
O00567,Nucleolar protein 56 (Nucleolar protein 5A),NOP56 NOL5A,1.213786312,1.25549008,1.203747535,26181
O00571,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,0.931797144,0.890728642,0.926321499,49085
O00629,Importin subunit alpha-3 (Importin alpha Q1) (Qip1) (Karyopherin subunit alpha-4),KPNA4 QIP1,0.723111768,0.82931978,0.812426036,33632
O00743,"Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]",PPP6C PPP6,0.853559823,0.602443148,0.53622288,24488
O00754,Lysosomal alpha-mannosidase (Laman) (EC 3.2.1.24) (Lysosomal acid alpha-mannosidase) (Mannosidase alpha class 2B member 1) (Mannosidase alpha-B) [Cleaved into: Lysosomal alpha-mannosidase A peptide; Lysosomal alpha-mannosidase B peptide; Lysosomal alpha-mannosidase C peptide; Lysosomal alpha-mannosidase D peptide; Lysosomal alpha-mannosidase E peptide],MAN2B1 LAMAN MANB,4.64254062,6.923253929,5.584319527,51017
O00764,Pyridoxal kinase (EC 2.7.1.35) (Pyridoxine kinase),PDXK C21orf124 C21orf97 PKH PNK PRED79,0.616425406,0.55938291,0.619575937,25413
O14561,"Acyl carrier protein, mitochondrial (ACP) (CI-SDAP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)",NDUFAB1,1.939931068,1.598251178,1.727416174,206133
O14579,Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP),COPE,1.024126046,0.974307925,1.004043393,18398
O14617,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin),AP3D1 PRO0039,0.854918759,0.481856473,0.56239645,16897
O14737,Programmed cell death protein 5 (TF-1 cell apoptosis-related protein 19) (Protein TFAR19),PDCD5 TFAR19,0.927523387,0.822666653,0.88474359,5492
O14744,"Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]",PRMT5 HRMT1L5 IBP72 JBP1 SKB1,0.929404234,0.787099937,0.759625247,2071
O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1 (NHERF-1) (Ezrin-radixin-moesin-binding phosphoprotein 50) (EBP50) (Regulatory cofactor of Na(+)/H(+) exchanger) (Sodium-hydrogen exchanger regulatory factor 1) (Solute carrier family 9 isoform A3 regulatory factor 1),SLC9A3R1 NHERF NHERF1,2.296701132,2.0040419,2.601084813,25625
O14773,Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Cell growth-inhibiting gene 1 protein) (Lysosomal pepstatin-insensitive protease) (LPIC) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I),TPP1 CLN2 GIG1 UNQ267/PRO304,3.782274742,3.730353266,3.724852071,36267
O14776,Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150),TCERG1 CA150 TAF2S,0.605770556,0.581673386,0.575779093,15614
O14787,Transportin-2 (Karyopherin beta-2b),TNPO2,1.516592811,1.502306084,1.582938856,21603
O14818,Proteasome subunit alpha type-7 (Proteasome subunit RC6-1) (Proteasome subunit XAPC7),PSMA7 HSPC,0.768301329,0.792102288,0.786439842,15490
O14908,PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2),GIPC1 C19orf3 GIPC RGS19IP1,0.539320532,0.532560303,0.540690335,24666
O14929,Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1),HAT1 KAT1,1.054455933,1.04519124,0.936627219,11736
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),HGS HRS,0.590497292,0.682150611,0.687721893,4770
O14979,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1),HNRNPDL HNRPDL JKTBP,0.803741999,0.785969406,0.766666667,53758
O14980,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),XPO1 CRM1,0.850251108,0.830010105,0.836183432,14377
O15020,"Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)",SPTBN2 KIAA0302 SCA5,3.153815854,3.115964503,2.604142012,16460
O15027,Protein transport protein Sec16A (SEC16 homolog A) (p250),SEC16A KIAA0310 SEC16 SEC16L,0.841772526,0.718737807,0.868205128,59739
O15042,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),U2SURP KIAA0332 SR140,0.881299852,0.985683271,0.877426036,97276
O15067,Phosphoribosylformylglycinamidine synthase (FGAM synthase) (FGAMS) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase) (FGAR amidotransferase) (FGAR-AT) (Formylglycinamide ribotide amidotransferase) (Phosphoribosylformylglycineamide amidotransferase),PFAS KIAA0361,0.567523387,0.581753424,0.588688363,10921
O15116,U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm),LSM1 CASM,0.91521418,0.981151141,0.737928994,87078
O15144,Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC),ARPC2 ARC34 PRO2446,0.599901526,0.605104399,0.59199211,28137
O15145,Actin-related protein 2/3 complex subunit 3 (Arp2/3 complex 21 kDa subunit) (p21-ARC),ARPC3 ARC21,0.592703102,0.632147109,0.578195266,36245
O15173,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),PGRMC2 DG6 PMBP,1.171344165,1.113823497,1.063412229,40530
O15212,Prefoldin subunit 6 (Protein Ke2),PFDN6 HKE2 PFD6,0.740423437,0.704471101,0.707721893,71822
O15260,Surfeit locus protein 4,SURF4 SURF-4,0.733431807,0.763268736,0.713017751,128237
O15269,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),SPTLC1 LCB1,0.468655835,0.434434184,0.457731755,20165
O15355,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),PPM1G PPM1C,1.130477597,1.101917901,1.132544379,16952
O15371,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),EIF3D EIF3S7,0.918700148,0.809160305,0.914852071,56007
O15372,Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit),EIF3H EIF3S3,0.871078287,0.854811762,0.905059172,18908
O15397,Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8),IPO8 RANBP8,1.060364353,1.004772243,1.032544379,55544
O15511,Actin-related protein 2/3 complex subunit 5 (Arp2/3 complex 16 kDa subunit) (p16-ARC),ARPC5 ARC16,0.584017725,0.6376597,0.566084813,16022
O43143,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43),DHX15 DBP1 DDX15,0.953825702,0.96289256,0.950473373,21684
O43148,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p),RNMT KIAA0398,0.758985721,0.898932498,0.920039448,72980
O43169,Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform),CYB5B CYB5M OMB5,0.595086164,0.604934319,0.526242604,82937
O43172,U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4),PRPF4 PRP4,0.783879862,0.682490771,0.786311637,18117
O43175,D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37),PHGDH PGDH3,1.716888232,1.729312777,1.606607495,12362
O43237,"Cytoplasmic dynein 1 light intermediate chain 2 (Dynein light intermediate chain 2, cytosolic) (LIC-2) (LIC53/55)",DYNC1LI2 DNCLI2 LIC2,0.844234367,0.674226887,0.412179487,36732
O43242,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,1.015164943,1.004171961,0.977001972,15036
O43252,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)],PAPSS1 ATPSK1 PAPSS,0.95798129,1.046491851,0.997238659,35694
O43264,Centromere/kinetochore protein zw10 homolog,ZW10,0.931206302,0.929726972,1.109664694,22642
O43290,U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1),SART1,0.963239783,0.911828559,0.866518738,5342
O43324,Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18),EEF1E1 AIMP3 P18,0.877941901,0.912188729,0.955345168,261
O43390,Heterogeneous nuclear ribonucleoprotein R (hnRNP R),HNRNPR HNRPR,0.781280158,0.764669395,0.814970414,12297
O43396,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein),TXNL1 TRP32 TXL TXNL,2.705071393,2.834232089,3.066568047,11638
O43399,Tumor protein D54 (hD54) (Tumor protein D52-like 2),TPD52L2,0.357764648,0.368183046,0.380187377,124229
O43488,Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase),AKR7A2 AFAR AFAR1 AKR7,1.257311669,1.261092714,1.325936884,19940
O43504,Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5),LAMTOR5 HBXIP XIP,1.621959626,1.382649845,1.601084813,131151
O43583,Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3),DENR DRP1 H14,1.100541605,1.05459566,1.004930966,1100
O43592,Exportin-T (Exportin(tRNA)) (tRNA exportin),XPOT,1.239192516,1.235980911,1.169625247,16586
O43598,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (c-Myc-responsive protein RCL),DNPH1 C6orf108 RCL,1.209847366,1.249587306,1.204240631,98807
O43615,Mitochondrial import inner membrane translocase subunit TIM44,TIMM44 MIMT44 TIM44,1.701427868,1.523315959,1.626035503,57427
O43681,"ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)",GET3 ARSA ASNA1 TRC40,1.022058099,0.931017578,1.051282051,88040
O43684,Mitotic checkpoint protein BUB3,BUB3,0.979862137,1.019078967,0.867968442,208248
O43707,Alpha-actinin-4 (Non-muscle alpha-actinin 4),ACTN4,0.332968981,0.359879143,0.347712032,4883
O43719,HIV Tat-specific factor 1 (Tat-SF1),HTATSF1,1.349778434,1.237981851,1.305226824,56506
O43747,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),AP1G1 ADTG CLAPG1,1.150861645,1.240182886,1.300887574,33017
O43760,Synaptogyrin-2 (Cellugyrin),SYNGR2 UNQ352/PRO615,3.575381585,3.547967545,3.591814596,11848
O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP),SGTA SGT SGT1,1.016937469,1.04419077,1.120019724,13655
O43776,"Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)",NARS1 NARS NRS,2.155391433,2.235350615,2.268540434,69631
O43809,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit),NUDT21 CFIM25 CPSF25 CPSF5,1.150664697,1.277200284,1.167061144,191786
O43813,Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1),LANCL1 GPR69A,1.297291974,1.151141036,1.161143984,81428
O43818,U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K),RRP9 RNU3IP2 U355K,1.384539636,1.61465889,1.430571992,10119
O43837,"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)",IDH3B,0.861398326,1.068402149,1.180374753,910
O43847,Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase),NRDC NRD1,0.565967504,0.564435285,0.631232742,9991
O43852,Calumenin (Crocalbin) (IEF SSP 9302),CALU,0.514268833,0.555581123,0.48091716,45784
O43865,S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2),AHCYL1 DCAL IRBIT XPVKONA,1.607090103,1.731013576,1.452761341,75764
O43920,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5 (Complex I-15 kDa) (CI-15 kDa) (NADH-ubiquinone oxidoreductase 15 kDa subunit),NDUFS5,2.799310684,2.853140976,3.040729783,92495
O60216,Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)],RAD21 HR21 KIAA0078 NXP1 SCC1,0.91872969,0.821736216,0.830187377,26297
O60220,Mitochondrial import inner membrane translocase subunit Tim8 A (Deafness dystonia protein 1) (X-linked deafness dystonia protein),TIMM8A DDP DDP1 TIM8A,1.93727228,1.793142777,2.373175542,7449
O60231,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16),DHX16 DBP2 DDX16 KIAA0577 PRP2,0.732644018,0.627294829,0.758254438,32473
O60256,Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41),PRPSAP2,1.14239291,0.924874691,1.2,28767
O60264,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H),SMARCA5 SNF2H WCRF135,0.977518464,1.021980331,1.000295858,23601
O60313,"Dynamin-like 120 kDa protein, mitochondrial (EC 3.6.5.5) (Optic atrophy protein 1) [Cleaved into: Dynamin-like 120 kDa protein, form S1]",OPA1 KIAA0567,1.235647464,1.258491491,1.272485207,18376
O60341,Lysine-specific histone demethylase 1A (EC 1.14.99.66) (BRAF35-HDAC complex protein BHC110) (Flavin-containing amine oxidase domain-containing protein 2) ([histone H3]-dimethyl-L-lysine(4) FAD-dependent demethylase 1A),KDM1A AOF2 KDM1 KIAA0601 LSD1,1.044017725,1.184756836,1.197140039,48661
O60493,Sorting nexin-3 (Protein SDP3),SNX3,1.168488429,1.12682961,1.106015779,9518
O60506,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)",SYNCRIP HNRPQ NSAP1,0.79360906,0.795643953,0.799980276,10962
O60610,Protein diaphanous homolog 1 (Diaphanous-related formin-1) (DRF1),DIAPH1 DIAP1,0.434446086,0.466349184,0.426134122,11633
O60664,Perilipin-3 (47 kDa mannose 6-phosphate receptor-binding protein) (47 kDa MPR-binding protein) (Cargo selection protein TIP47) (Mannose-6-phosphate receptor-binding protein 1) (Placental protein 17) (PP17),PLIN3 M6PRBP1 TIP47,1.041161989,1.016477745,0.957662722,46822
O60684,Importin subunit alpha-7 (Karyopherin subunit alpha-6),KPNA6 IPOA7,0.758670606,0.746330775,0.609309665,65972
O60701,UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22),UGDH,1.925258493,1.771232479,1.765779093,29141
O60716,Catenin delta-1 (Cadherin-associated Src substrate) (CAS) (p120 catenin) (p120(ctn)) (p120(cas)),CTNND1 KIAA0384,0.905593304,0.936380099,1.000690335,618
O60749,Sorting nexin-2 (Transformation-related gene 9 protein) (TRG-9),SNX2 TRG9,0.759606105,0.818834852,0.763639053,20554
O60762,Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1),DPM1,1.197341211,1.366142087,1.153648915,28429
O60763,General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein),USO1 VDP,1.1816839,1.195261773,1.138461538,28801
O60832,H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1),DKC1 NOLA4,1.118956179,1.159144798,1.090828402,5044
O60841,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),EIF5B IF2 KIAA0741,0.587848351,0.645413344,0.589664694,14483
O60869,Endothelial differentiation-related factor 1 (EDF-1) (Multiprotein-bridging factor 1) (MBF1),EDF1,0.77521418,0.780586876,0.789142012,9367
O60888,Protein CutA (Acetylcholinesterase-associated protein) (Brain acetylcholinesterase putative membrane anchor),CUTA ACHAP C6orf82,0.725967504,0.905545606,0.915976331,148277
O60925,Prefoldin subunit 1,PFDN1 PFD1,0.784775972,0.692415435,0.621331361,2910
O75083,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1,0.6214968,0.581393255,0.664980276,12650
O75131,Copine-3 (Copine III),CPNE3 CPN3 KIAA0636,2.049433776,2.235150521,2.03816568,2980
O75153,Clustered mitochondria protein homolog,CLUH KIAA0664,1.797341211,1.743619501,1.715976331,27475
